id,address,name,industry,related_gov
firm25,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm26,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm27,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm28,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm29,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm30,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm31,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm32,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm33,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm34,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm35,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm36,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm37,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm38,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm39,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm40,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm41,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm42,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm43,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm44,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm45,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm46,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm47,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm48,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm49,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm50,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm51,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm52,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm53,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm54,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm55,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm56,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm57,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm58,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm59,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm60,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm61,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm62,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm63,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm64,"侯程文武汉经济技术开发区车城东路283号	",东风本田汽车有限公司,汽车及零部件,政府办公厅、市经委
firm65,"侯程文武汉经济技术开发区车城东路283号	",东风本田汽车有限公司,汽车及零部件,政府办公厅、市经委
firm66,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm67,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm68,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm69,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm70,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm71,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm72,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm73,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm74,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm75,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm76,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm77,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm78,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm79,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm80,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm81,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm82,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm83,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm84,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm85,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm86,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm87,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm88,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm89,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm90,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm91,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm92,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm93,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm94,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm95,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm96,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm97,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm98,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm99,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm100,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm101,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm102,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm103,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm104,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm105,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm106,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm107,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm108,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm109,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm110,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm111,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm112,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm113,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm114,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm115,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm116,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm117,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm118,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm119,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm120,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm121,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm122,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm123,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm124,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm125,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm126,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm127,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm128,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm129,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm130,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm131,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm132,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm133,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm134,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm135,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm136,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm137,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm138,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm139,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm140,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm141,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm142,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm143,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm144,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm145,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm146,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm147,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm148,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm149,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm150,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm151,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm152,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm153,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm154,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm155,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm156,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm157,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm158,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm159,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm160,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm161,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm162,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm163,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm164,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm165,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm166,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm167,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm168,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm169,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm170,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm171,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm172,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm173,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm174,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm175,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm176,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm177,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm178,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm179,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm180,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm181,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm182,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm183,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm184,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm185,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm186,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm187,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm188,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm189,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm190,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm191,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm192,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm193,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm194,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm195,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm196,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm197,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm198,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm199,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm200,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm201,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm202,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm203,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm204,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm205,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm206,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm207,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm208,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm209,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm210,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm211,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm212,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm213,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm214,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm215,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm216,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm217,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm218,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm219,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm220,神龙大道9,名幸电子（武汉)有限公司,电子信息,市科技局
firm221,武汉经济技术开发区４０ＭＤ地块,美的集团武汉制冷设备有限公司,消费品及其它,市科技局
firm222,金银湖路11号,中交第二航务工程局有限公司,建设施工,市建委
firm223,"鹦鹉大道484号	",武汉健民药业集团股份有限公司,生物医药,市环保局
firm224,武汉武昌南湖周家湾100号,武汉马应龙集团股份有限公司,生物医药,市环保局
firm225,杜家井1,中石化80万吨乙烯项目,石油化工,市环保局
firm226,"武汉市江夏区G107	",武汉顺乐不锈钢有限公司,Unknown,Unknown
firm227,"汽渡路196号	",武汉中东化工股份有限公司,Unknown,Unknown
firm228,武昌区石洞街,武汉长虹机械厂,Unknown,Unknown
firm229,徐东大街231-233,华中电网有限公司,能源及环保,市经委
firm230,"创业路附近	",武汉唯冠科技有限公司,电子信息,市科技局
firm231,"武汉市经济技术开发区神龙大道165号	",神龙汽车有限公司,汽车及零部件,政府办公厅、市经委
firm232,"武汉市洪山区光谷大道9号	",长飞光纤光缆有限公司,电子信息,政府办公厅、市经委
firm233,"武汉市经济技术开发区神龙大道165号	",神龙汽车有限公司,汽车及零部件,政府办公厅、市经委
firm234,"武汉市洪山区光谷大道9号	",长飞光纤光缆有限公司,电子信息,政府办公厅、市经委
firm235,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm236,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm237,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm238,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm239,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm240,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm241,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm242,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm243,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm244,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm245,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm246,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm247,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm248,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm249,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm250,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm251,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm252,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm253,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm254,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm255,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm256,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm257,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm258,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm259,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm260,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm261,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm262,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm263,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm264,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm265,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm266,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm267,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm268,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm269,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm270,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm271,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm272,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm273,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm274,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm275,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm276,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm277,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm278,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm279,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm280,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm281,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm282,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm283,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm284,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm285,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm286,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm287,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm288,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm289,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm290,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm291,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm292,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm293,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm294,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm295,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm296,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm297,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm298,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm299,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm300,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm301,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm302,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm303,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm304,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm305,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm306,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm307,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm308,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm309,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm310,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm311,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm312,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm313,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm314,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm315,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm316,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm317,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm318,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm319,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm320,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm321,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm322,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm323,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm324,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm325,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
firm326,"湖北省武汉市硚口区沿河大道358号	",武汉市天然气有限公司,能源及环保,市建委
firm327,湖北省武汉市阳逻经济开发区,武汉华能发电有限责任公司,能源及环保,市环保局
firm328,"沌口路附近	",武桥重工集团股份有限公司,Unknown,Unknown
firm329,"中山路496号	",武汉市合中生化制造有限公司,Unknown,Unknown
firm330,"东湖新技术开发区大学园路33号	",中冶南方工程技术有限公司,Unknown,Unknown
firm331,湖北省武汉市汉阳大道36号,中国中铁大桥局集团有限公司,建设施工,市建委
firm332,江夏区江夏区复江道体育馆西侧(熊廷弼路体育馆附近,武汉建工（集团）有限公司,建设施工,市建委
